Img_Label,Val
08-22 11.07.40.jpg_Width,25
08-22 11.07.40.jpg_Height,25
03-16 04.32.03.jpg_Top,187
03-16 04.32.03.jpg_Left,21
03-16 04.32.03.jpg_Width,101
03-16 04.32.03.jpg_Height,101
08-12 09.27.24.jpg_Top,161
08-12 09.27.24.jpg_Left,642
08-12 09.27.24.jpg_Width,81
08-12 09.27.24.jpg_Height,81
01-20 01.06.34.jpg_Top,334
01-20 01.06.34.jpg_Left,391
01-20 01.06.34.jpg_Width,28
01-20 01.06.34.jpg_Height,28
02-25 13.28.14.jpg_Top,355
02-25 13.28.14.jpg_Left,1362
02-25 13.28.14.jpg_Width,63
02-25 13.28.14.jpg_Height,63
08-12 10.02.54.jpg_Top,251
08-12 10.02.54.jpg_Left,9
08-12 10.02.54.jpg_Width,55
08-12 10.02.54.jpg_Height,55
03-10 03.20.12.jpg_Top,332
03-10 03.20.12.jpg_Left,318
03-10 03.20.12.jpg_Width,36
03-10 03.20.12.jpg_Height,36
03-02 01.14.45.jpg_Top,357
03-02 01.14.45.jpg_Left,245
03-02 01.14.45.jpg_Width,37
03-02 01.14.45.jpg_Height,37
02-19 01.38.35.jpg_Top,322
02-19 01.38.35.jpg_Left,331
02-19 01.38.35.jpg_Width,32
02-19 01.38.35.jpg_Height,32
02-19 01.40.48.jpg_Top,312
02-19 01.40.48.jpg_Left,219
02-19 01.40.48.jpg_Width,52
02-19 01.40.48.jpg_Height,52
03-17 12.06.45.jpg_Top,456
03-17 12.06.45.jpg_Left,721
03-17 12.06.45.jpg_Width,74
03-17 12.06.45.jpg_Height,74
03-01 10.01.10.jpg_Top,360.0
03-01 10.01.10.jpg_Left,640.0
03-01 10.01.10.jpg_Width,50
03-01 10.01.10.jpg_Height,50
02-25 13.32.19.jpg_Top,338.0
02-25 13.32.19.jpg_Left,1668.0
02-25 13.32.19.jpg_Width,55
02-25 13.32.19.jpg_Height,55
01-30 03.23.51.jpg_Top,214
01-30 03.23.51.jpg_Left,826
01-30 03.23.51.jpg_Width,48
01-30 03.23.51.jpg_Height,48
02-20 09.51.05.jpg_Top,313
02-20 09.51.05.jpg_Left,369
02-20 09.51.05.jpg_Width,34
02-20 09.51.05.jpg_Height,34
08-13 16.10.39.jpg_Top,397
08-13 16.10.39.jpg_Left,372
08-13 16.10.39.jpg_Width,26
08-13 16.10.39.jpg_Height,26
03-08 11.43.24.jpg_Top,567
03-08 11.43.24.jpg_Left,654
03-08 11.43.24.jpg_Width,60
03-08 11.43.24.jpg_Height,60
01-05 10.17.13.jpg_Top,296
01-05 10.17.13.jpg_Left,603
01-05 10.17.13.jpg_Width,28
01-05 10.17.13.jpg_Height,28
08-12 09.49.38.jpg_Top,290
08-12 09.49.38.jpg_Left,198
08-12 09.49.38.jpg_Width,65
08-12 09.49.38.jpg_Height,65
02-25 14.24.43.jpg_Top,323
02-25 14.24.43.jpg_Left,102
02-25 14.24.43.jpg_Width,63
02-25 14.24.43.jpg_Height,63
05-20 09.41.06.jpg_Top,421
05-20 09.41.06.jpg_Left,363
05-20 09.41.06.jpg_Width,71
05-20 09.41.06.jpg_Height,71
08-22 11.46.25.jpg_Top,458
08-22 11.46.25.jpg_Left,963
08-22 11.46.25.jpg_Width,35
08-22 11.46.25.jpg_Height,35
08-23 15.53.37.jpg_Top,355
08-23 15.53.37.jpg_Left,912
08-23 15.53.37.jpg_Width,34
08-23 15.53.37.jpg_Height,34
01-22 04.37.49.jpg_Top,329
01-22 04.37.49.jpg_Left,248
01-22 04.37.49.jpg_Width,29
01-22 04.37.49.jpg_Height,29
01-07 12.56.08.jpg_Top,74
01-07 12.56.08.jpg_Left,758
01-07 12.56.08.jpg_Width,58
01-07 12.56.08.jpg_Height,58
01-20 01.32.29.jpg_Top,320
01-20 01.32.29.jpg_Left,317
01-20 01.32.29.jpg_Width,30
01-20 01.32.29.jpg_Height,30
01-18 12.43.47.jpg_Top,266
01-18 12.43.47.jpg_Left,275
01-18 12.43.47.jpg_Width,52
01-18 12.43.47.jpg_Height,52
06-04 16.36.08.jpg_Top,601
06-04 16.36.08.jpg_Left,511
06-04 16.36.08.jpg_Width,35
06-04 16.36.08.jpg_Height,35
03-17 12.30.12.jpg_Top,392
03-17 12.30.12.jpg_Left,369
03-17 12.30.12.jpg_Width,29
03-17 12.30.12.jpg_Height,29
02-19 01.39.03.jpg_Top,268
02-19 01.39.03.jpg_Left,518
02-19 01.39.03.jpg_Width,29
02-19 01.39.03.jpg_Height,29
06-08 10.29.03.jpg_Top,569
06-08 10.29.03.jpg_Left,1261
06-08 10.29.03.jpg_Width,57
06-08 10.29.03.jpg_Height,57
05-01 14.04.02.jpg_Top,569
05-01 14.04.02.jpg_Left,363
05-01 14.04.02.jpg_Width,55
05-01 14.04.02.jpg_Height,55
08-26 17.53.37.jpg_Top,355
08-26 17.53.37.jpg_Left,47
08-26 17.53.37.jpg_Width,68
08-26 17.53.37.jpg_Height,68
01-21 04.22.50.jpg_Top,221
01-21 04.22.50.jpg_Left,994
01-21 04.22.50.jpg_Width,87
01-21 04.22.50.jpg_Height,87
03-07 02.32.39.jpg_Top,535
03-07 02.32.39.jpg_Left,285
03-07 02.32.39.jpg_Width,125
03-07 02.32.39.jpg_Height,125
02-20 10.00.38.jpg_Top,360.0
02-20 10.00.38.jpg_Left,640.0
02-20 10.00.38.jpg_Width,50
02-20 10.00.38.jpg_Height,50
01-30 12.04.51.jpg_Top,326
01-30 12.04.51.jpg_Left,1137
01-30 12.04.51.jpg_Width,46
01-30 12.04.51.jpg_Height,46
04-17 01.46.06.jpg_Top,246
04-17 01.46.06.jpg_Left,1089
04-17 01.46.06.jpg_Width,56
04-17 01.46.06.jpg_Height,56
02-24 05.19.55.jpg_Top,384
02-24 05.19.55.jpg_Left,295
02-24 05.19.55.jpg_Width,56
02-24 05.19.55.jpg_Height,56
01-29 12.09.50.jpg_Top,282
01-29 12.09.50.jpg_Left,39
01-29 12.09.50.jpg_Width,50
01-29 12.09.50.jpg_Height,50
03-02 05.33.26.jpg_Top,360.0
03-02 05.33.26.jpg_Left,640.0
03-02 05.33.26.jpg_Width,50
03-02 05.33.26.jpg_Height,50
01-22 11.33.13.jpg_Top,290
01-22 11.33.13.jpg_Left,117
01-22 11.33.13.jpg_Width,50
01-22 11.33.13.jpg_Height,50
05-08 11.13.32.jpg_Top,32
05-08 11.13.32.jpg_Left,678
05-08 11.13.32.jpg_Width,108
05-08 11.13.32.jpg_Height,108
04-04 12.39.12.jpg_Top,350
04-04 12.39.12.jpg_Left,389
04-04 12.39.12.jpg_Width,40
04-04 12.39.12.jpg_Height,40
03-17 12.29.28.jpg_Top,378
03-17 12.29.28.jpg_Left,214
03-17 12.29.28.jpg_Width,34
03-17 12.29.28.jpg_Height,34
02-20 10.01.55.jpg_Top,308
02-20 10.01.55.jpg_Left,412
02-20 10.01.55.jpg_Width,28
02-20 10.01.55.jpg_Height,28
03-15 04.05.49.jpg_Top,223
03-15 04.05.49.jpg_Left,31
03-15 04.05.49.jpg_Width,71
03-15 04.05.49.jpg_Height,71
03-04 11.24.23.jpg_Top,529
03-04 11.24.23.jpg_Left,1073
03-04 11.24.23.jpg_Width,91
03-04 11.24.23.jpg_Height,91
01-29 11.18.42.jpg_Top,184
01-29 11.18.42.jpg_Left,341
01-29 11.18.42.jpg_Width,66
01-29 11.18.42.jpg_Height,66
05-20 11.54.07.jpg_Top,529
05-20 11.54.07.jpg_Left,557
05-20 11.54.07.jpg_Width,57
05-20 11.54.07.jpg_Height,57
03-29 14.59.18.jpg_Top,453.5
03-29 14.59.18.jpg_Left,1467.5
03-29 14.59.18.jpg_Width,55
03-29 14.59.18.jpg_Height,55
06-08 10.34.47.jpg_Top,397
06-08 10.34.47.jpg_Left,169
06-08 10.34.47.jpg_Width,113
06-08 10.34.47.jpg_Height,113
04-24 12.56.39.jpg_Top,33
04-24 12.56.39.jpg_Left,172
04-24 12.56.39.jpg_Width,77
04-24 12.56.39.jpg_Height,77
03-04 05.40.31.jpg_Top,362
03-04 05.40.31.jpg_Left,27
03-04 05.40.31.jpg_Width,74
03-04 05.40.31.jpg_Height,74
01-22 01.19.57.jpg_Top,302
01-22 01.19.57.jpg_Left,276
01-22 01.19.57.jpg_Width,45
01-22 01.19.57.jpg_Height,45
03-02 01.20.10.jpg_Top,306
03-02 01.20.10.jpg_Left,990
03-02 01.20.10.jpg_Width,49
03-02 01.20.10.jpg_Height,49
03-03 11.41.09.jpg_Top,229
03-03 11.41.09.jpg_Left,198
03-03 11.41.09.jpg_Width,38
03-03 11.41.09.jpg_Height,38
03-09 05.03.00.jpg_Top,358
03-09 05.03.00.jpg_Left,647
03-09 05.03.00.jpg_Width,30
03-09 05.03.00.jpg_Height,30
08-08 17.07.48.jpg_Top,330
08-08 17.07.48.jpg_Left,996
08-08 17.07.48.jpg_Width,35
08-08 17.07.48.jpg_Height,35
08-25 14.02.52.jpg_Top,360.0
08-25 14.02.52.jpg_Left,640.0
08-25 14.02.52.jpg_Width,50
08-25 14.02.52.jpg_Height,50
01-22 03.25.51.jpg_Top,278
01-22 03.25.51.jpg_Left,335
01-22 03.25.51.jpg_Width,88
01-22 03.25.51.jpg_Height,88
03-17 12.27.00.jpg_Top,294
03-17 12.27.00.jpg_Left,99
03-17 12.27.00.jpg_Width,55
03-17 12.27.00.jpg_Height,55
02-25 14.21.14.jpg_Top,376
02-25 14.21.14.jpg_Left,405
02-25 14.21.14.jpg_Width,44
02-25 14.21.14.jpg_Height,44
01-22 05.25.41.jpg_Top,275
01-22 05.25.41.jpg_Left,303
01-22 05.25.41.jpg_Width,46
01-22 05.25.41.jpg_Height,46
01-22 10.59.21.jpg_Top,336
01-22 10.59.21.jpg_Left,252
01-22 10.59.21.jpg_Width,32
01-22 10.59.21.jpg_Height,32
02-25 13.28.11.jpg_Top,372
02-25 13.28.11.jpg_Left,1164
02-25 13.28.11.jpg_Width,51
02-25 13.28.11.jpg_Height,51
02-20 02.58.50.jpg_Top,271
02-20 02.58.50.jpg_Left,408
02-20 02.58.50.jpg_Width,47
02-20 02.58.50.jpg_Height,47
05-20 11.25.24.jpg_Top,528
05-20 11.25.24.jpg_Left,622
05-20 11.25.24.jpg_Width,44
05-20 11.25.24.jpg_Height,44
02-25 16.10.28.jpg_Top,350
02-25 16.10.28.jpg_Left,303
02-25 16.10.28.jpg_Width,63
02-25 16.10.28.jpg_Height,63
06-07 14.16.26.jpg_Top,433
06-07 14.16.26.jpg_Left,636
06-07 14.16.26.jpg_Width,67
06-07 14.16.26.jpg_Height,67
02-20 10.00.50.jpg_Top,275
02-20 10.00.50.jpg_Left,315
02-20 10.00.50.jpg_Width,96
02-20 10.00.50.jpg_Height,96
03-06 01.26.48.jpg_Top,342
03-06 01.26.48.jpg_Left,1121
03-06 01.26.48.jpg_Width,81
03-06 01.26.48.jpg_Height,81
03-03 01.06.01.jpg_Top,266
03-03 01.06.01.jpg_Left,783
03-03 01.06.01.jpg_Width,34
03-03 01.06.01.jpg_Height,34
01-22 10.32.16.jpg_Top,355
01-22 10.32.16.jpg_Left,359
01-22 10.32.16.jpg_Width,27
01-22 10.32.16.jpg_Height,27
01-25 11.35.56.jpg_Top,274
01-25 11.35.56.jpg_Left,92
01-25 11.35.56.jpg_Width,53
01-25 11.35.56.jpg_Height,53
02-25 13.32.33.jpg_Top,573
02-25 13.32.33.jpg_Left,1728
02-25 13.32.33.jpg_Width,72
02-25 13.32.33.jpg_Height,72
08-13 15.51.38.jpg_Top,310
08-13 15.51.38.jpg_Left,237
08-13 15.51.38.jpg_Width,56
08-13 15.51.38.jpg_Height,56
05-28 10.45.46.jpg_Top,596
05-28 10.45.46.jpg_Left,589
05-28 10.45.46.jpg_Width,32
05-28 10.45.46.jpg_Height,32
04-24 04.19.02.jpg_Top,214
04-24 04.19.02.jpg_Left,199
04-24 04.19.02.jpg_Width,36
04-24 04.19.02.jpg_Height,36
06-08 13.23.50.jpg_Top,619
06-08 13.23.50.jpg_Left,287
06-08 13.23.50.jpg_Width,84
06-08 13.23.50.jpg_Height,84
03-10 11.21.16.jpg_Top,331
03-10 11.21.16.jpg_Left,386
03-10 11.21.16.jpg_Width,60
03-10 11.21.16.jpg_Height,60
05-19 18.08.45.jpg_Top,434
05-19 18.08.45.jpg_Left,530
05-19 18.08.45.jpg_Width,48
05-19 18.08.45.jpg_Height,48
02-25 13.28.44.jpg_Top,372
02-25 13.28.44.jpg_Left,1585
02-25 13.28.44.jpg_Width,110
02-25 13.28.44.jpg_Height,110
02-25 15.17.37.jpg_Top,343
02-25 15.17.37.jpg_Left,441
02-25 15.17.37.jpg_Width,46
02-25 15.17.37.jpg_Height,46
02-25 16.21.01.jpg_Top,322
02-25 16.21.01.jpg_Left,281
02-25 16.21.01.jpg_Width,68
02-25 16.21.01.jpg_Height,68
03-17 12.38.31.jpg_Top,238
03-17 12.38.31.jpg_Left,37
03-17 12.38.31.jpg_Width,81
03-17 12.38.31.jpg_Height,81
01-29 12.59.26.jpg_Top,236
01-29 12.59.26.jpg_Left,64
01-29 12.59.26.jpg_Width,75
01-29 12.59.26.jpg_Height,75
01-25 08.51.48.jpg_Top,271
01-25 08.51.48.jpg_Left,148
01-25 08.51.48.jpg_Width,57
01-25 08.51.48.jpg_Height,57
03-17 12.27.32.jpg_Top,334
03-17 12.27.32.jpg_Left,156
03-17 12.27.32.jpg_Width,38
03-17 12.27.32.jpg_Height,38
03-17 04.09.46.jpg_Top,258
03-17 04.09.46.jpg_Left,39
03-17 04.09.46.jpg_Width,89
03-17 04.09.46.jpg_Height,89
05-02 12.28.36.jpg_Top,640
05-02 12.28.36.jpg_Left,1287
05-02 12.28.36.jpg_Width,84
05-02 12.28.36.jpg_Height,84
03-10 03.16.32.jpg_Top,288
03-10 03.16.32.jpg_Left,15
03-10 03.16.32.jpg_Width,61
03-10 03.16.32.jpg_Height,61
03-15 03.36.02.jpg_Top,243
03-15 03.36.02.jpg_Left,190
03-15 03.36.02.jpg_Width,54
03-15 03.36.02.jpg_Height,54
05-12 12.08.40.jpg_Top,545
05-12 12.08.40.jpg_Left,411
05-12 12.08.40.jpg_Width,101
05-12 12.08.40.jpg_Height,101
05-12 12.10.06.jpg_Top,387
05-12 12.10.06.jpg_Left,1231
05-12 12.10.06.jpg_Width,56
05-12 12.10.06.jpg_Height,56
08-27 12.41.13.jpg_Top,384
08-27 12.41.13.jpg_Left,863
08-27 12.41.13.jpg_Width,41
08-27 12.41.13.jpg_Height,41
01-29 02.50.53.jpg_Top,236
01-29 02.50.53.jpg_Left,0
01-29 02.50.53.jpg_Width,53
01-29 02.50.53.jpg_Height,53
03-06 03.53.39.jpg_Top,360.0
03-06 03.53.39.jpg_Left,640.0
03-06 03.53.39.jpg_Width,50
03-06 03.53.39.jpg_Height,50
02-15 12.12.21.jpg_Top,239
02-15 12.12.21.jpg_Left,220
02-15 12.12.21.jpg_Width,72
02-15 12.12.21.jpg_Height,72
06-08 12.54.53.jpg_Top,356
06-08 12.54.53.jpg_Left,438
06-08 12.54.53.jpg_Width,127
06-08 12.54.53.jpg_Height,127
03-10 01.33.38.jpg_Top,308
03-10 01.33.38.jpg_Left,335
03-10 01.33.38.jpg_Width,59
03-10 01.33.38.jpg_Height,59
06-11 14.07.34.jpg_Top,501
06-11 14.07.34.jpg_Left,1499
06-11 14.07.34.jpg_Width,107
06-11 14.07.34.jpg_Height,107
02-24 02.29.25.jpg_Top,414
02-24 02.29.25.jpg_Left,302
02-24 02.29.25.jpg_Width,28
02-24 02.29.25.jpg_Height,28
